название вакансии,URL,Название компании,Описание
Старший инженер по физическому проектированию СБИС,https://hh.ru/vacancy/29680847?query=Python,АО НПЦ «ЭЛВИС»,Разработка топологии блоков и кристаллов СБИС. Логический синтез RTL. Внедрение DFT и Low Power.Знание подходов к Signoff STA. Понимание результатов временного анализа. Знание Tcl/Perl/Python/Shell для автоматизации задач. Опыт физической верификации. 
Инженер NMS/OSS,https://hh.ru/vacancy/31015599?query=Python, CPM,"Мониторинг, администрирование, установка, настройка, интеграция, поддержка, оптимизация работы систем, относящихся к категории NMS/OSS (Network Management System/Operational Support System...Опыт написания скриптов на Shell, Perl, Python. Знание SQL, PL/SQL, Oracle DB. Понимание основных бизнес- и технологических процессов телекоммуникационных..."
QA Team Lead,https://hh.ru/vacancy/30993489?query=Python,ОАО Дэшборд Системс,"Управление группой тестирования. Анализ требований. Создание тестовой документации. Распределение задач и контроль их исполнения. Взаимодействие с командой разработки. Опыт создания тестовой документации (тест планы, тест кейсы, чек-листы). Желателен опыт автоматизации на Python – Appium, Selenium. Опыт работы с..."
Инженер доступности сервисов/ SRE/ DevOps,https://hh.ru/vacancy/29765407?query=Python, Plazius,"Обеспечение высокой доступности продакшен среды и аптайма работающих там сервисов. Обеспечение масштабирования сервиса на аппаратном уровне и уровне системного ПО. Опыт эксплуатации нагруженных сервисов, работающих 24х7. Опыт программирования (bash, python, go, ruby, powershell или похожие). Опыт использования систем..."
Аналитик (Игры),https://hh.ru/vacancy/29895896?query=Python," Mail.Ru Group, Игры","Разработка и сопровождение систем и процессов анализа данных в студии, которые дают точное представление о том, как наши пользователи взаимодействуют...SQL, понимание построения баз данных, построение сложных запросов. Базовые знания Python или R для анализа данных (numpy/scipy/matplotlib/pandas). "
Продуктовый аналитик,https://hh.ru/vacancy/31018387?query=Python, Zoon.ru,"Оценивать продукты и фичи - как они работают и на что влияют. Проводить А/Б тесты - что стоит доработать, а что...Владение SQL. Знание систем веб-аналитики желательно. Плюсом будет, если вы владеете рhp или python, но это не обязательно."
Помощник аналитика,https://hh.ru/vacancy/31018575?query=Python, ПроКонтекст,"Обучаться в процессе работы. Сбор и обработка статистики. Пост-клик анализ. Проведение A/B тестов. Подготовка аналитических отчетов. Опыт работы с Google Data Studio/Microsoft Power BI. Знание языков JS/Python/PHP хотя бы начального уровня, желание обучаться..."
Инженер-программист DNS / Системный администратор FreeBSD,https://hh.ru/vacancy/30810801?query=Python," MSK-IX, Центр взаимодействия компьютерных сетей","Разработка модулей через API для серверов DNS (BIND, UNBOUND, PowerDNS, NSD). * Разработка модулей через API для PostgreSQL. O для интеграции...+ С/С++/Object С (очень желательно). + Python (желательно). + SQL (желательно). + BASH (желательно). + Perl (желательно). "
Quantitative Researcher/Intern,https://hh.ru/vacancy/30501513?query=Python," Агентство 21 век, КЦ","Работа с большими и сложными наборами данных для построения количественных моделей, которые предсказывают будущие движения цен. Применение современных математических и......студенты последних курсов. Уверенное владение английским языком. Высокий GPA. Навыки программирования на Python (numpy, sklearn, pandas, matplotlib и т. Д.)."
Администратор PostgreSQL,https://hh.ru/vacancy/29126747?query=Python, ФОРС,"Управление инфраструктурой Enterprise уровня (развертывание, настройка, поддержка системного и прикладного ПО) – 24\7. Поддержка доступности инфраструктурных сервисов компании. Навыки написания скриптов автоматизации с использованием : Bash,Python,Perl. Опыт администрирования СУБД Oracle 11/12. Опыт настройки и практического использования..."
Quantitative Researcher,https://hh.ru/vacancy/29958073?query=Python, WorldQuant,"Competitive financial rewards, based on performance and position. Job Responsibilities (including, but not limited to, the following): Building algorithmic, computer...Solid programming skills (C++ and/or Python). Good knowledge of English (both oral and written). Strong work ethic. "
QA-инженер WFM,https://hh.ru/vacancy/31001533?query=Python,ПАО МТС,"Проведение ручного и автоматизированного тестирования. Разработка и поддержание в актуальном состоянии тестовой документации. Анализ, систематизация и составление подробного описания найденных...Базовые знания технологий: SOAP, HTML, Java, XML/XLST, Json. Базовые знания Python. Знание различных инструментов автоматизации тестирования. Опыт работы с..."
Analyst and Reporting Specialist,https://hh.ru/vacancy/31023540?query=Python," adidas, Центральный офис","Analysis and processes modeling for Logistics department$. Logistics Volume plan-fact analysis, recommendations for achieving KPI’s in collaboration with...Experience of automation \ process optimization in the company. Work experience with BI-systems \ SQL DB \ Python \ EXASOL. Upper-Intermediate English."
Разработчик навигационных алгоритмов,https://hh.ru/vacancy/30129960?query=Python, WayRay,"Разработка алгоритмов определения позиции и ориентации автомобиля на основе данных с GNSS, IMU, видеокамеры и информации о движении с бортовой...Опыт программирования на C++ и Python (включая numpy, scipy, pandas, matplotlib). Базовые знания по Computer Science: понимание как устроены основные..."
"Преподаватель компьютерных/IT курсов, программирования, информатики, робототехники",https://hh.ru/vacancy/30137791?query=Python, ЧУ ДО Школа программистов,"Web-дизайн, CMS, PHP, JavaScript. Робототехника и микроконтроллеры. Системное администрирование. Компьютерные сети. Компьютерная графика, видеомонтаж и др. Что Вы будете...Вы обладаете опытом публичных выступлений. Получили или скоро получите техническое или педагогическое высшее образование. И/или направлений IT-технологий: Компьютерное..."
Системный администратор,https://hh.ru/vacancy/30871589?query=Python, СМ-Клиника,"Администрирование серверов на базе ОС Windows и Linux. Сопровождение и развитие распределенной сети на оборудовании Cisco. Администрирование СУБД MS SQL...Опыт настройки систем резервного копирования. Опыт работы с bash, python, powershell, vbs. Глубокие знания серверных ОС Linux, Windows и основных..."
Инженер-верификатор аналоговых блоков,https://hh.ru/vacancy/29685239?query=Python,АО НПЦ «ЭЛВИС»,"Разработка методик контроля характеристик аналоговых устройств и отдельных блоков на различных этапах разработки. Разработка схем тестовой оснастки в схемотехнических САПР. Базовое понимание принципов работы аналоговых схем (ВАХ, АЧХ, Шум, Линейность...). Знание одного из скриптовых языков (Ocean/SKILL или Python). "
DevOps specialist,https://hh.ru/vacancy/30033743?query=Python, Сибур,"Поддержка и развитие в части devops инфраструктуры (hadoop кластер и его компонеты, балансировщики, очереди, сервера приложений). Установка, настройка и администрирование...Знание скриптовых языков (Python, Bash, powershell). Опыт сборки и деплоя приложений, основной стек: Java, Scala, Python. Опыт работы с контейнерами..."
Support Engineer,https://hh.ru/vacancy/30506143?query=Python, АДВ,"Сопровождение: регистрация запросов пользователей, ответы на вопросы, консультации по различным вопросам работы системы, анализ и поиск решения проблем. Опыт написания SQL запросов. Опыт написания инструкций для пользователей. Знание одного из языков программирования (Java, Python, C#). Английский не ниже..."
Антифрод-аналитик,https://hh.ru/vacancy/30999576?query=Python," Mail.Ru Group, Решения для бизнеса","Управление антифрод-системой: создание правил, анализ эффективности их работы, адаптация к новым мошенническим схемам. Анализ большого объема данных пользователях и...Знание основ статистики, алгоритмов, умение программировать (предпочтительно Python). Знание SQL. Аналитические навыки, способность визуализировать данные, находить в них закономерности и..."
Разработчик 1С,https://hh.ru/vacancy/30096802?query=Python, 1service,"Устойчивость к процессным и организационным изменениям. Выделенная персональная машина для разработки (4Gb ОЗУ, SSD 250 Гб). Взаимодействие по задачам...Разработка с учётом будущих обновлений. Второй язык программирования (VB, JS, Python, oscript etc.) будет преимуществом. Понимание основ бухгалтерского и управленческого..."
Стажер в отдел аналитики (Business intelligence),https://hh.ru/vacancy/30987729?query=Python, Авито,"Строить модели поведения пользователей Авито, сегментировать их и выявлять потребности. Вместе с командой определять структуру метрик для оценки различных инициатив...Знаете разнообразные методики анализа данных. Умеете писать код на SQL/Python/R. Активные, коммуникабельные, не любите делать решения «в стол..."
Системный инженер,https://hh.ru/vacancy/30500520?query=Python, Почта России,"Разработка и актуализация технической архитектуры системы. Разработка/согласование технических спецификаций. Постановка задач на развертывание инфраструктуры. Проектирование систем технического мониторинга. Знание хотя бы одного функционального языка программирования для автоматизации тестирования (предпочтительно bash, python3). Уверенное знание систем багтрекинга (минимально Jira..."
Quantitative researcher,https://hh.ru/vacancy/31001628?query=Python, Cindicator,"Проведение количественных исследований для рынков криптовалют. Исследования и разработка торговых стратегий. Анализ микроструктуры рынка. Комплексная визуализация данных.Понимание основ линейной алгебры, статистики и эконометрики. Прикладные знания Python (pandas, numpy, plotting). Понимание объектно-ориентированного программирования. Письменный и разговорный..."
Продуктовый аналитик в сервис Яндекс.Еда,https://hh.ru/vacancy/30997589?query=Python, Яндекс,"Формулировать продуктовые гипотезы, проверять их, проводить эксперименты и делать выводы, которые окажут влияние на продукты. Изучать поведение пользователей, находить инсайты...Умеете писать SQL-запросы и программировать на Python (Pandas, NumPy, Matplotlib). Не боитесь осваивать новые технологии. Умеете видеть за числами..."
ИТ-Рекрутер,https://hh.ru/vacancy/31006135?query=Python, Рекадро,"Закрытие ИТ вакансий по различным направлениям (разработчики разного уровня, программисты C#, Java, Python, Golang). Поиск кандидатов на работных сайтах, в...Успешный опыт подбора IT-специалистов от 1 года и более (разработчики различного уровня). Умение использовать различные источники и методы оценки..."
Системный администратор,https://hh.ru/vacancy/29676236?query=Python, Panasonic,"Установка, настройка рабочих мест, обучение и консультация пользователей. Участие в инфраструктурных проектах. Настройка и поддержка серверного, сетевого оборудования и оргтехники. Знание языков программирования для автоматизации задач PowerShell, Python. Владение английским языком на уровне intermediate. Желание развиваться и получать новые навыки..."
Проектный менеджер (Департамент комплексной оценки рисков),https://hh.ru/vacancy/29118745?query=Python," «РОСБАНК, Societe Generale Group», с опытом работы","Построение математических моделей предсказания поведения клиентов (розничных и корпоративных), стресс-тестирования профиля рисков Банка/Группы. Мониторинг скоринговых карт. Знание специальных программ и языков программирования (SQL, R, Python, VBA), MS Office (Excel, Access, Word, PowerPoint). Наличие навыков владения ­­­­­­­­­­­­­­­­­­­­­­­­SAS..."
Администратор биллинговой системы,https://hh.ru/vacancy/30997474?query=Python, EASY4,"Администрирование биллинговой системы. Интеграция АСР с внешними сервисами и оборудованием. Настройка биллинговой системы. Написание вспомогательных скриптов для решение прикладных задач. Знание OC Linux, умение программировать под Linux (shell, perl, python, ruby и т.п.). Опыт работы с СУБД (MySQL, PostgreSQL..."
Ведущий аналитик,https://hh.ru/vacancy/31002295?query=Python, Сбербанк для экспертов,"Начать использовать модели искусственного интеллекта в процессах розничного кредитования. Использовать новые данные и инструменты в процессах X-Sell. Релевантный опыт участия в проектах с ИТ-составляющей в роли аналитика на интеграционных проектах в крупных банках, или крупных системных..."
Аналитик Сектор моделирования и прогнозирования рисков \ Risk analyst,https://hh.ru/vacancy/30588438?query=Python," ОТП Банк, АО (OTP bank)","Разработка различных моделей для оценки риска : behavioral score (поведенческий скоринг), profitability models (модели расчета доходности), expected collected amount (модели возвратов...Опыт работы от 1 года. Математическое моделирование, знание статистических пакетов, python. Знание методов машинного обучения. Желание развиваться, умение самостоятельно разбираться..."
Инженер технической поддержки,https://hh.ru/vacancy/30696386?query=Python,ООО Лаборатория Умного Вождения,"Техническая поддержка работоспособности коммутационного и серверного оборудования, а также облачных сервисов компании. Работа с системами мониторинга и оповещения, эскалация профильным...Опыт работы с Hyper-V / VMware. Знание скриптовых языков - Unix shell scripts (bash, sh, csh), cmd/bat, Python, знание основ..."
Архитектор логической модели данных,https://hh.ru/vacancy/29954364?query=Python,ПАО МТС,"Команда: нас уже 200, планируем вырасти до 300. Для работы над продуктом собираем команду из разных центров компетенций (их более......систем класса MDM. Опыт работы в agile командах. Умение читать код на одном из языков программирования: Java, PHP, С++, Python."
Главный специалист по конфигурированию систем информационной безопасности,https://hh.ru/vacancy/31000746?query=Python,ПАО Ростелеком,"Эксплуатация платформы SIEM, обеспечение отказоустойчивости ее функционирования, масштабирования(поддержка и тюнинг работы java, администрирование mysql/postgresql, работа с контейнерами). Опыт программирования на одном из языков (Python/Bash/PowerShell/Perl и т.д.) или опыт создания скриптов в рамках решения..."
Макроэкономист,https://hh.ru/vacancy/28962756?query=Python, Центральный Банк Российской Федерации,"Мониторинг, анализ, моделирование и прогнозирование показателей, характеризующих состояние внешних экономических условий, формирование и поддержание базы данных анализируемых показателей. Знание одного или нескольких языков программирования (Matlab, R, Python, Julia, SAS). Знание SQL и опыт работы с базами данных. "
Ведущий инженер,https://hh.ru/vacancy/30487645?query=Python,ПАО МТС,"Анализ и решение инцидентов с оборудованием. Общение с вендорами IBM, EMC-DELL, HP, MicroSoft, Oracle и RedHat. Поиск причин и...Продвинутый администратор. Читать и писать скрипты на BASH, SH, Perl, Python. 3. VmWare: Опыт управления сервисами IaaS, PaaS. "
Администратор учебного процесса в IT дополнительном образовании (пр-т Мира),https://hh.ru/vacancy/31006663?query=Python, ЧУ ДО Школа программистов,"Сопровождение образовательного процесса (консультирование родителей и учащихся по организационным вопросам, звонки с целью проверки удовлетворенности клиентов качеством сервиса и преподавания...Желательный опыт работы - в сфере дополнительного образования. Начинающий специалист с отличными коммуникативными навыками. Высокая клиентоориентированность. Грамотная устная и письменная речь. "
Методист (разработчик методических материалов младшей школы),https://hh.ru/vacancy/31006676?query=Python, ЧУ ДО Школа программистов,"Опыт преподавания у младших школьников в доп.образовании ИТ дисциплин, математики, алгоритмики, робототехники. Доп. образование ИТ\математика\техника для младших школьников. Наличие собственного портфолио метод. материалов для младших школьников (программа, поурочный план, набор заданий, методические указания для преподавателей). Знание возрастной специфики..."
Продуктовый аналитик (группа продуктового анализа),https://hh.ru/vacancy/31005935?query=Python,ПАО МТС,"Анализировать данные, строить и проверять гипотезы для улучшения продуктовых метрик. Делать это в тесной связи с продакт-менеджерами. Умение самостоятельно находить пути решения задачи. Способность работать в режиме многозадачности. Опыт работы с BI-инструментарием. Знание Python / R. "
Начальник аналитического управления,https://hh.ru/vacancy/30996004?query=Python, Страховая Компания Allianz,"Оперативный контроль и руководство деятельностью вверенного подразделения. Развитие продуктов. Разработка и внедрение инноваций, спецпредложений по ДМС и страхованию жизни. Знание алгоритмов машинного обучения, умение применять их в реальных задачах. Хорошее знание: Python, Excel, R, VBA программирование на уровне продвинутого..."
Администратор учебного процесса в IT (м. Парк-Культуры),https://hh.ru/vacancy/31006645?query=Python, ЧУ ДО Школа программистов,"Сопровождение образовательного процесса (консультирование родителей и учащихся по организационным вопросам, звонки с целью проверки удовлетворенности клиентов качеством сервиса и преподавания...Желательный опыт работы - в сфере дополнительного образования. Начинающий специалист с отличными коммуникативными навыками. Высокая клиентоориентированность. Грамотная устная и письменная речь. "
Руководитель направления,https://hh.ru/vacancy/31005010?query=Python, Сбербанк для экспертов,"Строить и дорабатывать модели для автоклассификации автоматизации поиска корневых причин, вызывающих обращения: определение интента, sentiment analysis. Внедрять разработанные модели в...Писать понятный рабочий код на python. быть знакомым c git, unittest. Работать с данными: numpy, pandas, SQL, json. "
Инженер технической поддержки,https://hh.ru/vacancy/30190792?query=Python,ООО Клауд Контакт,"Работа с клиентскими запросами, исследование заявленных проблем, устранение проблем своими средствами или с привлечением вендора. Точная диагностика причин возникновения проблем...Администрирование Windows Server, CentOs. Умение писать скрипты автоматизации (Python, Shell, Bash). Аккуратность и согласованность в действиях. Знание основ администрирование CISCO..."
Эксперт по работе с новыми данными (департамент розничных кредитных рисков),https://hh.ru/vacancy/29669483?query=Python, Банк ВТБ (ПАО),"Извлечение данных из корпоративного хранилища Банка в соответствии с запросами руководства, аналитиков, других контрагентов. Согласование экспертиз, спецификации для процессов, связанных...Высшее образование (техническое, математическое, экономическое). Знание основ математической статистики. Уверенное владение SQL, SAS Guide (желательно), SAS Miner (желательно), R, Hadoop..."
Главный специалист отдела анализа рыночных рисков,https://hh.ru/vacancy/30998238?query=Python,ПАО ТРАНСКАПИТАЛБАНК,"Анализ и оценка рыночных рисков и риска ликвидности. Стресс-тестирование рыночного риска. Подготовка управленческой отчетности по финансовым рискам. Знание английского языка на уровне чтения со словарем. Уверенный пользователь MS Offiсe, знание языков программирования (VBA, SQL, Python), знание Reuters..."
Методист отделений Проспект мира и Профсоюзная,https://hh.ru/vacancy/29491039?query=Python, ЧУ ДО Школа программистов,"Руководство деятельностью преподавателей, закрепленных за отделениями. Методические посещения и сопровождение учебного процесса. Развитие педагогических и предметных компетенций преподавателей. Собственный опыт преподавательской деятельности от 3 лет (IT - дисциплины) в учреждениях дополнительного образования. Опыт руководящей работы от 2-х лет..."
Руководитель группы прикладных администраторов,https://hh.ru/vacancy/31004146?query=Python, Сбербанк для экспертов,"Руководство группой администраторов прикладного уровня. Сопровождение промышленных банковских автоматизированных систем. Выстраивание процессов 2-линии поддержки. Повышение качества и надежности систем. Знание SQL. Знание модели OSI. Понимание работы JVM, J2EEБазовый уровень Python/Groovy. Понимание работы web-сервисов (REST, SOAP)."
Руководитель проекта Отдел риск-моделирования МСБ,https://hh.ru/vacancy/30992945?query=Python, Московский Кредитный Банк,"Подготовка и совершенствование аналитических отчетов о рисках кредитного портфеля розничного бизнеса и МСБ (в первую очередь гарантий участия в госзакупках). Работа в VBA будет плюсом. SAS, Python, R в части построения прогнозов и регрессий будет плюсом. Опыт работы с OLAP..."
Менеджер образовательных программ,https://hh.ru/vacancy/30992801?query=Python, Тинькофф,"Координирование и проведение программ стажировок. - Создание комфортных условий для студентов и менторов на всех этапах проведения стажировки: с момента сбора...Уверенное владение инструментами обработки большого количества информации (Excel как базовый инструмент, знание Python будет плюсом). После общения с заказчиками формируем..."
DevOps инженер,https://hh.ru/vacancy/30859947?query=Python, IBS,"Автоматизация процесса развертывания приложений в облачных средах, на базе продукта Arenadata Cluster Manager. Исследование работы приложений для больших данных в...Знание Linux на уровне начинающего сисадмина (apt/yum, iptables, nginx). Знание языков Bash/Python/Perl на уровне автоматизации процессов ОС. "
Системный инженер СУБД,https://hh.ru/vacancy/29392194?query=Python, IBS,"Внедрение СУБД Greenplum (MPP PostgreSQL) у заказчиков. Оказание техподдержки (2-3 линия) СУБД. Постановка задач для отдела разработки. Знание SQL. Знание как минимум одного скриптового языка из списка: Bash, Python. Уверенное знание Linux (RH 7 / CentOS 7)."
PHP developer (middle/senior),https://hh.ru/vacancy/27780132?query=Python, Туту.ру,"Проектировать, реализовывать новые сервисы и модули продуктов. Улучшать и оптимизировать уже существующие инструменты и активно участвовать во всём процессе разработки. Обязательно: Свободно мыслить и писать на PHP. Опыт с реляционными и нереляционными СУБД, а именно - MongoDB, PostgreSQL, в идеале и..."
